scheme,village,month,month_lab,period_recent,period_base,variable,mean_recent,mean_base,delta,pct_change,p_welch,hedges_g,ci_low,ci_high,n_recent,n_base
nearest1,Mandena,6,Jun,2018-2022,2013-2017,ssrd_MJ_day,1.34000000000001e-05,8.79999999999999e-06,4.60000000000008e-06,52.2727272727282,0.240257670823619,0.752322844533978,-1.19999999999987e-06,1.1195e-05,5,5
nearest1,Mandena,6,Jun,2018-2022,2013-2017,wbgt28_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,6,Jun,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,6,Jun,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,6,Jun,2018-2022,2008-2012,tmean_c,19.4229444444444,19.6347777777778,-0.211833333333335,-1.07886799499755,0.535339659508381,-0.373985036434176,-0.787609027777778,0.3681875,5,5
nearest1,Mandena,6,Jun,2018-2022,2008-2012,tmax_c,23.5306666666667,24.0046666666667,-0.474000000000004,-1.97461604687979,0.296104834270248,-0.649954020307881,-1.224,0.272649999999999,5,5
nearest1,Mandena,6,Jun,2018-2022,2008-2012,tmin_c,16.1906666666667,16.2353333333333,-0.044666666666668,-0.275120108405543,0.906342710529407,-0.0694501802819988,-0.715800000000001,0.585983333333335,5,5
nearest1,Mandena,6,Jun,2018-2022,2008-2012,rh_mean,86.7137155676442,86.287834330231,0.425881237413208,0.493558843745369,0.713530554100445,0.219132880412557,-1.58134769708532,2.32514691907409,5,5
nearest1,Mandena,6,Jun,2018-2022,2008-2012,vpd_kpa,0.335766534883698,0.362388467550822,-0.026621932667124,-7.34624168562718,0.444937861720605,-0.469649894827317,-0.081974811851137,0.0257090979696484,5,5
nearest1,Mandena,6,Jun,2018-2022,2008-2012,ssrd_MJ_day,1.34000000000001e-05,2e-05,-6.59999999999989e-06,-32.9999999999995,0.174011333043361,-0.904889207135918,-1.39999999999999e-05,6.00000000000203e-07,5,5
nearest1,Mandena,6,Jun,2018-2022,2008-2012,wbgt28_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,6,Jun,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,6,Jun,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,6,Jun,2018-2022,2003-2007,tmean_c,19.4229444444444,18.9493333333333,0.473611111111111,2.49935500515996,0.136604504909552,0.957043227192857,0.022252083333333,1.01057152777778,5,5
nearest1,Mandena,6,Jun,2018-2022,2003-2007,tmax_c,23.5306666666667,23.2026666666667,0.327999999999999,1.41363061717044,0.388526733441915,0.524027359982493,-0.25595,0.984633333333336,5,5
nearest1,Mandena,6,Jun,2018-2022,2003-2007,tmin_c,16.1906666666667,15.5946666666667,0.595999999999998,3.82181942544459,0.106236242159523,1.03976379600055,0.0499999999999989,1.17661666666667,5,5
nearest1,Mandena,6,Jun,2018-2022,2003-2007,rh_mean,86.7137155676442,86.6282166336435,0.0854989340006966,0.0986964032311519,0.903498989536464,0.0718103397836065,-1.12924770522582,1.26425275015256,5,5
nearest1,Mandena,6,Jun,2018-2022,2003-2007,vpd_kpa,0.335766534883698,0.334244561661659,0.00152197322203945,0.455347190833304,0.933911307151448,0.0488986771605632,-0.0283790245338452,0.032539244274539,5,5
nearest1,Mandena,6,Jun,2018-2022,2003-2007,ssrd_MJ_day,1.34000000000001e-05,1.34e-05,6.43745039913268e-20,4.80406746203931e-13,0.999999999999978,1.64130151511179e-14,-3.99999999999993e-06,4.00000000000003e-06,5,5
nearest1,Mandena,6,Jun,2018-2022,2003-2007,wbgt28_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,6,Jun,2018-2022,2003-2007,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,6,Jun,2018-2022,2003-2007,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,7,Jul,2018-2022,2013-2017,tmean_c,18.3850806451613,18.6763172043011,-0.291236559139783,-1.55938965886011,0.45875714686109,-0.445008164913932,-0.970518817204299,0.376197580645164,5,5
nearest1,Mandena,7,Jul,2018-2022,2013-2017,tmax_c,22.3503225806452,22.9748387096774,-0.624516129032259,-2.71826121142344,0.149762606722683,-0.911006027753487,-1.30833870967742,0.0754516129032246,5,5
nearest1,Mandena,7,Jul,2018-2022,2013-2017,tmin_c,15.1729032258065,15.2012903225806,-0.0283870967741944,-0.186741363211957,0.951061272424792,-0.036260829666542,-0.773516129032258,0.780322580645159,5,5
nearest1,Mandena,7,Jul,2018-2022,2013-2017,rh_mean,86.7624276351118,85.3708180111741,1.39160962393771,1.63007647854044,0.183055578157099,0.849075122621326,-0.253382908864445,3.01225648351468,5,5
nearest1,Mandena,7,Jul,2018-2022,2013-2017,vpd_kpa,0.31428821661849,0.355899862745744,-0.0416116461272548,-11.6919534068442,0.133278697868646,-0.962275674670272,-0.0847996506330964,0.00183903881794064,5,5
nearest1,Mandena,7,Jul,2018-2022,2013-2017,ssrd_MJ_day,7.40000000000005e-06,7.00000000000009e-06,3.99999999999961e-07,5.71428571428509,0.953749577807188,0.0343852187960492,-1.14000000000001e-05,1.18e-05,5,5
nearest1,Mandena,7,Jul,2018-2022,2013-2017,wbgt28_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,7,Jul,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,7,Jul,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,7,Jul,2018-2022,2008-2012,tmean_c,18.3850806451613,18.4239784946237,-0.0388978494623657,-0.21112622050507,0.911492802187091,-0.0658406879508233,-0.638537634408601,0.533512768817202,5,5
nearest1,Mandena,7,Jul,2018-2022,2008-2012,tmax_c,22.3503225806452,22.8058064516129,-0.45548387096774,-1.99722764434637,0.258161530294104,-0.697660373065421,-1.10320967741935,0.182580645161291,5,5
nearest1,Mandena,7,Jul,2018-2022,2008-2012,tmin_c,15.1729032258065,14.9548387096774,0.218064516129031,1.45815358067299,0.532848053037357,0.373824028470342,-0.387064516129034,0.810967741935485,5,5
nearest1,Mandena,7,Jul,2018-2022,2008-2012,rh_mean,86.7624276351118,85.5048567634991,1.25757087161273,1.47075957929628,0.0926802676932564,1.09223568048234,0.172670385948518,2.5134596845594,5,5
nearest1,Mandena,7,Jul,2018-2022,2008-2012,vpd_kpa,0.31428821661849,0.354125446792514,-0.0398372301740245,-11.2494683832663,0.100736582271034,-1.05966911935816,-0.0808930976110115,-0.00659582522942658,5,5
nearest1,Mandena,7,Jul,2018-2022,2008-2012,ssrd_MJ_day,7.40000000000005e-06,1.20000000000001e-05,-4.60000000000005e-06,-38.3333333333334,0.62914485964529,-0.287464982806671,-2.07950000000001e-05,1.07949999999999e-05,5,5
nearest1,Mandena,7,Jul,2018-2022,2008-2012,wbgt28_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,7,Jul,2018-2022,2008-2012,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,7,Jul,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,7,Jul,2018-2022,2003-2007,tmean_c,18.3850806451613,18.4097043010753,-0.0246236559139774,-0.133753674210504,0.937852310071527,-0.0467546757656048,-0.525857526881722,0.535236559139785,5,5
nearest1,Mandena,7,Jul,2018-2022,2003-2007,tmax_c,22.3503225806452,22.4987096774194,-0.148387096774194,-0.659536030740114,0.662361993351833,-0.262608106986483,-0.719919354838709,0.402564516129032,5,5
nearest1,Mandena,7,Jul,2018-2022,2003-2007,tmin_c,15.1729032258065,15.1025806451613,0.0703225806451613,0.46563287624418,0.819300358815972,0.136921709821816,-0.433499999999998,0.603822580645161,5,5
nearest1,Mandena,7,Jul,2018-2022,2003-2007,rh_mean,86.7624276351118,86.1714883461177,0.590939288994136,0.685771245612656,0.511504105864827,0.394599485740892,-0.893961421820347,2.11103364791917,5,5
nearest1,Mandena,7,Jul,2018-2022,2003-2007,vpd_kpa,0.31428821661849,0.332373026684779,-0.0180848100662896,-5.44111844654625,0.431302990564479,-0.473488000662981,-0.0602211704481824,0.0181222825197724,5,5
