scheme,village,period_recent,period_base,variable,mean_recent,mean_base,delta,pct_change,hedges_g,p_welch,ci_low,ci_high,n_recent,n_base
nearest1,Mandena,2018-2022,2013-2017,wbgt28_h,3.23333333333333,2.91666666666667,0.316666666666667,10.8571428571429,0.338026385448416,0.570993224953561,-0.633333333333333,1.26666666666667,5,5
nearest1,Mandena,2018-2022,2013-2017,wbgt31_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,2018-2022,2013-2017,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,2018-2022,2008-2012,tmean_c,21.575185084765,21.4973605919055,0.0778244928594951,0.362018827970904,0.244182298122544,0.681359468419954,-0.232907300881055,0.4024851131346,5,5
nearest1,Mandena,2018-2022,2008-2012,tmax_c,26.1571080477426,26.1696790437347,-0.0125709959920144,-0.0480364928091238,-0.0386698447052922,0.947954721009571,-0.324721453290246,0.327989370133486,5,5
nearest1,Mandena,2018-2022,2008-2012,rh_mean,85.41242523416,85.840640421053,-0.428215186893013,-0.498849012300694,-0.438436040789765,0.465033773391238,-1.39394350302986,0.533883716993119,5,5
nearest1,Mandena,2018-2022,2008-2012,vpd_kpa,0.433950784515077,0.422882680092431,0.0110681044226466,2.61729906276307,0.351465361071217,0.559462028299949,-0.0207728088831513,0.0419786157448424,5,5
nearest1,Mandena,2018-2022,2008-2012,ssrd_MJ_day,5.46666666666668e-06,7.20000000000002e-06,-1.73333333333334e-06,-24.0740740740741,-0.439105497675108,0.464172616342415,-5.36583333333336e-06,2.48291666666667e-06,5,5
nearest1,Mandena,2018-2022,2008-2012,wbgt28_h,3.23333333333333,3.01666666666667,0.216666666666667,7.18232044198896,0.159253864363677,0.790116521921881,-1.26625,1.53333333333333,5,5
nearest1,Mandena,2018-2022,2008-2012,wbgt31_h,0,0.0166666666666667,-0.0166666666666667,-100,-0.571250157965901,0.373900966300059,-0.05,0,5,5
nearest1,Mandena,2018-2022,2008-2012,hot35_h,0,0,0,,,,0,0,5,5
nearest1,Mandena,2018-2022,2003-2007,tmean_c,21.575185084765,21.1983787902196,0.376806294545379,1.77752411292522,1.39216342750136,0.0607346911849439,0.103913621455676,0.64289113403028,5,5
nearest1,Mandena,2018-2022,2003-2007,tmax_c,26.1571080477426,25.6830070536928,0.474100994049827,1.84597151361082,1.95540378259376,0.0091196097574631,0.243670547963348,0.707183031631265,5,5
