scheme,village,month,month_lab,variable,slope_decade_lm,p_lm,tau_mk,p_mk,sens_slope_decade
idw4,Sarahandrano,7,Jul,tmin_c,0.0349796090284443,0.614615190135269,0.0303030303030303,0.776650048834706,
idw4,Sarahandrano,7,Jul,rh_mean,-0.120694014026754,0.430478463252796,-0.0787878787878788,0.451306534760978,
idw4,Sarahandrano,7,Jul,vpd_kpa,0.00564917506669697,0.162769457913225,0.143434343434343,0.167800092606734,
idw4,Sarahandrano,7,Jul,ssrd_MJ_day,-6.71549435186124e-07,0.318746495041358,-0.127272727272727,0.221409034709388,
idw4,Sarahandrano,7,Jul,wbgt28_h,0,,,,
idw4,Sarahandrano,7,Jul,wbgt31_h,0,,,,
idw4,Sarahandrano,7,Jul,hot35_h,0,,,,
idw4,Sarahandrano,8,Aug,tmean_c,0.205666141127855,0.000251190468689934,0.363636363636364,0.000444994405444458,
idw4,Sarahandrano,8,Aug,tmax_c,0.322860876696004,2.10300426967281e-06,0.428282828282828,3.50466595264604e-05,
idw4,Sarahandrano,8,Aug,tmin_c,0.120492536150358,0.0565234381184301,0.2,0.0539650514821469,
idw4,Sarahandrano,8,Aug,rh_mean,-0.327134734298636,0.0224771567075128,-0.197979797979798,0.0564490983570774,
idw4,Sarahandrano,8,Aug,vpd_kpa,0.0127304068334821,0.00100478480136998,0.313131313131313,0.00250500005392023,
idw4,Sarahandrano,8,Aug,ssrd_MJ_day,-1.01615225030664e-06,0.102615604365612,-0.15959595959596,0.124581502145293,
idw4,Sarahandrano,8,Aug,wbgt28_h,0,,,,
idw4,Sarahandrano,8,Aug,wbgt31_h,0,,,,
idw4,Sarahandrano,8,Aug,hot35_h,0,,,,
idw4,Sarahandrano,9,Sep,tmean_c,0.166236871993988,0.00135672394445961,0.357575757575758,0.000554062575742015,
idw4,Sarahandrano,9,Sep,tmax_c,0.249467950229431,0.000332514935101968,0.345454545454545,0.000850631897869722,
idw4,Sarahandrano,9,Sep,tmin_c,0.119038042945021,0.0367509482377417,0.244444444444444,0.0183965197020515,
idw4,Sarahandrano,9,Sep,rh_mean,-0.237412524214022,0.198058643188212,-0.119191919191919,0.252403318481302,
idw4,Sarahandrano,9,Sep,vpd_kpa,0.011176818943971,0.0343003204737146,0.202020202020202,0.0515729150101514,
idw4,Sarahandrano,9,Sep,ssrd_MJ_day,1.45609527307822e-07,0.798553457567053,-0.0202020202020202,0.852551354898099,
idw4,Sarahandrano,9,Sep,wbgt28_h,0,,,,
idw4,Sarahandrano,9,Sep,wbgt31_h,0,,,,
idw4,Sarahandrano,9,Sep,hot35_h,0,,,,
idw4,Sarahandrano,10,Oct,tmean_c,0.261567917924363,0.0010176781985522,0.323232323232323,0.00180507518795772,
idw4,Sarahandrano,10,Oct,tmax_c,0.450827174822565,4.74736351047493e-06,0.37979797979798,0.000244101842914944,
idw4,Sarahandrano,10,Oct,tmin_c,0.079979830802268,0.371920387615272,0.121212121212121,0.244385088601117,
idw4,Sarahandrano,10,Oct,rh_mean,-0.874144885416733,0.000282829114539849,-0.335353535353535,0.00120392818290797,
idw4,Sarahandrano,10,Oct,vpd_kpa,0.0347796486267227,1.71065651832248e-05,0.402020202020202,0.000102929244085803,
idw4,Sarahandrano,10,Oct,ssrd_MJ_day,-4.52427794113301e-07,0.4121420123767,-0.103030303030303,0.323145646876319,
idw4,Sarahandrano,10,Oct,wbgt28_h,0,,,,
idw4,Sarahandrano,10,Oct,wbgt31_h,0,,,,
idw4,Sarahandrano,10,Oct,hot35_h,0,,,,
idw4,Sarahandrano,11,Nov,tmean_c,0.368554143387498,7.01137022827148e-09,0.523232323232323,4.24879032707476e-07,
idw4,Sarahandrano,11,Nov,tmax_c,0.550453139852514,5.00754270531249e-10,0.583838383838384,1.65759734158036e-08,
idw4,Sarahandrano,11,Nov,tmin_c,0.214999010069541,0.00474141179669017,0.242424242424242,0.019388575004816,
idw4,Sarahandrano,11,Nov,rh_mean,-0.985556622227541,0.00170045312351642,-0.321212121212121,0.00192871310117066,
idw4,Sarahandrano,11,Nov,vpd_kpa,0.043031840390517,2.47421992903948e-05,0.426262626262626,3.81583870152007e-05,
idw4,Sarahandrano,11,Nov,ssrd_MJ_day,-5.00022233397001e-07,0.350595038046101,-0.121212121212121,0.244385088601117,
idw4,Sarahandrano,11,Nov,wbgt28_h,0,,,,
idw4,Sarahandrano,11,Nov,wbgt31_h,0,,,,
idw4,Sarahandrano,11,Nov,hot35_h,0,,,,
idw4,Sarahandrano,12,Dec,tmean_c,0.287875787554739,1.77662681035882e-07,0.535353535353535,2.28097631161452e-07,
idw4,Sarahandrano,12,Dec,tmax_c,0.377548740404979,3.43618675835404e-06,0.492929292929293,1.89802175042724e-06,
idw4,Sarahandrano,12,Dec,tmin_c,0.197940141727661,0.000501649614938714,0.343434343434343,0.000912484103057926,
idw4,Sarahandrano,12,Dec,rh_mean,-0.847554763896142,0.0028213358173123,-0.319191919191919,0.00206008407213936,
idw4,Sarahandrano,12,Dec,vpd_kpa,0.0345213697256357,0.000296861208088477,0.355555555555556,0.00059563511563025,
idw4,Sarahandrano,12,Dec,ssrd_MJ_day,5.93951480304501e-07,0.342005435609551,0.105050505050505,0.313656645625766,
idw4,Sarahandrano,12,Dec,wbgt28_h,0.0513833992094863,0.246560058362296,0.174615389022126,0.163158941094032,
idw4,Sarahandrano,12,Dec,wbgt31_h,0,,,,
idw4,Sarahandrano,12,Dec,hot35_h,0,,,,
nearest1,Mandena,1,Jan,tmean_c,0.191053745226255,7.59199796941899e-06,0.422222222222222,4.51856323780444e-05,
